Brant Bjork
GReeNOX

Justice 
Melanie Martinez

Grinspoon
Ramshackle Glory

L-Fresh the Lion
Crywolf

Jared & The Mill
Sabaton

The Gospel Whiskey Runners
Sifu Hotman

The Heavy
Drugstore

The Cruxshadows
Delta Bombers

2 Skinny J's
The Interrupters

Aviators
Beta Radio

The Crane Wives
David Wax Museum

Sol Heilo
American Babies

Secular Ghost
Cockamamie Jamie

Andrew Combs
Au4

Boesgaard
Sylvan Esso

Dink
Just a Gent
